id	possess
BS34-015	1
BS34-016	2
BS34-017	1
BS34-018	1
BS34-020	5
BS34-023	1
BS34-024	4
BS34-025	1
BS34-027	1
BS34-029	1
BS34-030	1
BS34-031	3
BS34-032	1
BS34-033	3
BS34-034	3
BS34-035	3
BS34-037	1
BS34-038	3
BS34-039	3
BS34-040	1
BS34-042	1
BS34-043	1
BS34-044	3
BS34-045	1
BS34-046	1
BS34-047	1
BS34-048	1
BS34-049	4
BS34-050	1
BS34-053	2
BS34-054	3
BS34-055	1
BS34-058	3
BS34-059	2
BS34-060	1
BS34-061	3
BS34-062	1
BS34-063	1
BS34-064	2
BS34-065	3
BS34-066	1
BS34-067	2
BS34-068	1
BS34-069	9
BS34-070	1
BS34-071	5
BS34-072	3
BS34-073	3
BS34-075	5
BS34-076	1
BS34-077	5
BS34-079	1
BS34-081	3
BS34-083	1
BS34-X01	1
BS34-X03	1
BS34-X04	1
BS34-X05	3
BS34-X06	3
BS34-XX02	2
BS34-CP03	2
BS34-CP05	1
BS34-CP07	1
BS35-001	1
BS35-003	2
BS35-005	7
BS35-006	1
BS35-007	3
BS35-008	3
BS35-009	1
BS35-010	2
BS35-011	1
BS35-013	1
BS35-014	3
BS35-015	1
BS35-016	1
BS35-018	1
BS35-019	1
BS35-023	9
BS35-024	1
BS35-025	5
BS35-026	4
BS35-028	3
BS35-029	3
BS35-030	1
BS35-031	1
BS35-033	1
BS35-036	1
BS35-038	1
BS35-041	1
BS35-042	2
BS35-043	2
BS35-045	1
BS35-046	1
BS35-047	1
BS35-048	1
BS35-049	1
BS35-052	1
BS35-053	1
BS35-054	1
BS35-055	1
BS35-056	1
BS35-062	1
BS35-064	2
BS35-067	1
BS35-068	1
BS35-069	5
BS35-070	1
BS35-072	1
BS35-073	3
BS35-074	3
BS35-075	1
BS35-076	1
BS35-077	1
BS35-078	8
BS35-079	1
BS35-080	1
BS35-082	1
BS35-083	1
BS35-084	6
BS35-085	3
BS35-086	3
BS35-087	1
BS35-088	2
BS35-089	3
BS35-093	6
BS35-094	1
BS35-095	5
BS35-096	1
BS35-097	1
BS35-099	2
BS35-100	1
BS35-X01	4
BS35-X03	2
BS35-X04	1
BS35-XX02	3
BS35-CP01	1
BS36-001	3
BS36-002	5
BS36-004	3
BS36-005	3
BS36-007	3
BS36-008	3
BS36-009	6
BS36-010	3
BS36-011	3
BS36-012	2
BS36-013	1
BS36-014	1
BS36-016	3
BS36-017	3
BS36-018	1
BS36-019	1
BS36-020	3
BS36-021	3
BS36-022	3
BS36-023	3
BS36-024	3
BS36-025	1
BS36-026	3
BS36-027	3
BS36-028	3
BS36-029	3
BS36-030	2
BS36-031	1
BS36-032	2
BS36-035	3
BS36-037	1
BS36-038	3
BS36-039	3
BS36-040	3
BS36-042	2
BS36-043	1
BS36-045	1
BS36-046	3
BS36-048	2
BS36-049	5
BS36-054	3
BS36-055	1
BS36-057	2
BS36-058	3
BS36-059	1
BS36-060	3
BS36-061	2
BS36-063	3
BS36-064	6
BS36-065	1
BS36-066	4
BS36-067	4
BS36-068	4
BS36-069	1
BS36-070	1
BS36-071	1
BS36-072	3
BS36-073	2
BS36-074	4
BS36-075	3
BS36-076	1
BS36-077	1
BS36-X01	3
BS36-X02	1
BS36-X04	3
BS36-X05	1
BS36-X06	1
BS36-CP01	4
BS36-CP02	4
BS37-001	5
BS37-002	2
BS37-003	10
BS37-004	7
BS37-005	14
BS37-006	12
BS37-007	8
BS37-008	11
BS37-010	10
BS37-011	2
BS37-012	3
BS37-013	14
BS37-014	9
BS37-015	8
BS37-016	3
BS37-017	3
BS37-018	11
BS37-019	12
BS37-020	10
BS37-021	3
BS37-022	9
BS37-023	3
BS37-024	9
BS37-025	10
BS37-026	9
BS37-027	3
BS37-028	7
BS37-029	1
BS37-030	1
BS37-031	9
BS37-032	1
BS37-033	1
BS37-034	10
BS37-035	14
BS37-036	7
BS37-037	6
BS37-038	8
BS37-039	3
BS37-040	14
BS37-041	18
BS37-042	3
BS37-043	7
